created_week,requests_created,eventually_closed,still_open,avg_closure_days,sla_miss_rate
2026-03-30,46994,45217,1777,5.5,0.1267
2026-04-06,68911,65806,3105,5.3,0.1275
2026-04-13,74154,71223,2931,5.0,0.1217
2026-04-20,70584,67381,3203,4.7,0.122
2026-04-27,70682,67152,3530,4.4,0.1218
2026-05-04,72229,68250,3979,3.8,0.1167
2026-05-11,76776,72021,4755,3.5,0.1214
2026-05-18,75441,70419,5022,3.5,0.1197
2026-05-25,78394,72842,5552,2.6,0.1092
2026-06-01,80941,74387,6554,2.5,0.1063
2026-06-08,78308,70915,7393,2.2,0.096
2026-06-15,76340,67635,8705,1.7,0.086
2026-06-22,75982,63392,12590,1.0,0.022
2026-06-29,23257,16813,6444,0.6,0.0108
